conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,organisationsbezogene Systemrichtlinien anwenden,released,skill/competence,cross-sector,,"Umsetzen interner politischer Maßnahmen in Bezug auf die Entwicklung sowie die interne und externe Nutzung von Technologiesystemen wie Softwaresystemen, Netzwerksystemen und Telekommunikationssystemen, um eine Reihe von Zielen und Vorgaben für den effizienten Betrieb und das Wachstum einer Organisation zu erreichen.",http://data.europa.eu/esco/skill/802deca0-b880-4d1a-b366-e13b27621baf | http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1 | http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f,Einhaltung operativer Verfahren | Loyalität zeigen | Unternehmenspolitik anwenden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,IKT-Lösungen für Unternehmensprobleme vorschlagen,released,skill/competence,cross-sector,IuK-Lösung für Unternehmensprobleme vorschlagen | IKT-Lösungen für Geschäftsprobleme vorschlagen | technische Lösungen für Unternehmensprobleme vorschlagen | IT-Lösungen für Unternehmensprobleme vorschlagen | IuK-Lösungen für Unternehmesprobleme empfehlen,"Unterbreiten von Vorschlägen, wie wirtschaftliche Fragen unter Einsatz von IKT gelöst werden können, um dadurch Geschäftsprozesse zu verbessern.",http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041 | http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce | http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,Problemlösungen finden | Entwickeln von IKT-Systemen oder -Anwendungen | Problemlösungsstrategien entwickeln | technische Probleme lösen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e6bc9f-9c98-44ae-a7a3-5266caa393e1,Kosten von Instandsetzungsvorhaben berechnen,released,skill/competence,sector-specific,,Berechnen der Material- und Arbeitskosten für Instandsetzungsvorhaben; Verstehen der betreffenden Computerprogramme.,http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186 | http://data.europa.eu/esco/skill/cfbde1b6-8e47-4b83-b430-3d5f7f38d69a | http://data.europa.eu/esco/skill/b917784a-d7c9-437c-be6e-0de41067fa62,Berechnungen durchführen | Betriebskosten beurteilen | Schätzen des Ressourcenbedarfs
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,Software für die Immobilienverwaltung,released,knowledge,sector-specific,,"Funktionen und Funktionsweise einer Software, die die Verwaltung der täglichen Abläufe in Beherbergungsbetrieben ermöglicht, um Ressourcen und Prozesse wie Buchungsreservierungen, Zimmerpreise, Umsatzdatenanalysen oder Abrechnungen zu optimieren.
	",http://data.europa.eu/esco/isced-f/1013,"Hotels, Restaurants und Catering"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08236fee-c405-4f30-8858-f10d7d5c94b7,Medienintegrationssysteme bedienen,released,skill/competence,occupation-specific,,"Bedienen eines Medienintegrationssystems für Bühnen- und Veranstaltungsanwendungen während des Aufbaus, der Konfiguration, der Proben und der Live-Aufführungen.
	",http://data.europa.eu/esco/skill/8ddcb295-707e-459c-ba6a-66ffb37835c5,Bedienen von audiovisuellen Geräten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,Computersimulation,released,knowledge,cross-sector,,"Ein auf einem Computer betriebenes Programm, das die dynamischen Reaktionen eines Systems darstellt, um das Verhalten eines mathematischen Modells zu untersuchen. Dabei wird ein Modell eines realen Systems verwendet, das aus mathematischen Gleichungen besteht.
	",http://data.europa.eu/esco/isced-f/0611,Computernutzung
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,WizIQ,released,knowledge,sector-specific,,"Das Computerprogramm WizIQ ist eine E-Learning-Plattform zur Schaffung, Verwaltung, Organisation, Berichterstattung und Bereitstellung von E-Learning-Kursen oder Schulungsprogrammen.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,Lernmanagementsysteme | Design und Verwaltung von Datenbanken und Netzwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,IKT-System verwalten,released,skill/competence,sector-specific,IKT-Systeme verwalten | IKT-System administrieren | Netzwerk und System verwalten | System verwalten | IT-System verwalten | IuK-System verwalten | System betreiben,"Verwalten der Komponenten des IKT-Systems durch Pflege der Konfiguration, Verwaltung der Nutzer, Überwachung des Ressourceneinsatzes, Durchführung von Datensicherungen und Installation von Hardware oder Software, um die festgelegten Anforderungen zu erfüllen.",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20 | http://data.europa.eu/esco/skill/fbbcb9ab-4b95-4e57-a756-30d08b7da7a5,Einrichten von Computersystemen | IKT-System warten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97,Social-Engineering-Tests durchführen,released,skill/competence,sector-specific,,"Durchführen simulierter Social-Engineering-Angriffe, um Schwachstellen in der Sicherheitsstruktur eines Unternehmens zu identifizieren. Social-Engineering-Tests können Phishing-E-Mails, Pretexting oder andere Formen der Manipulation umfassen, die von Angreifenden verwendet werden, um sensible Informationen oder unbefugten Zugriff auf Systeme zu erhalten.
	",http://data.europa.eu/esco/skill/0e0a44a8-654c-4e85-986a-fb4386114838,Überwachung der Sicherheit
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,Forschungsdaten verwalten,released,skill/competence,cross-sector,,"Erstellen und Analysieren wissenschaftlicher Daten, die mithilfe qualitativer und quantitativer Forschungsmethoden erhoben wurden. Speichern und Pflegen der Daten in Forschungsdatenbanken. Unterstützung der Wiederverwendung wissenschaftlicher Daten und Kenntnis der Grundsätze der offenen Datenverwaltung.
    ",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,Informationsmanagement
