conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0bca9840-478a-40fd-a6c3-c8cc923add98,Bewirtschaftungspläne entwickeln,released,skill/competence,sector-specific,Managementpläne entwickeln,Entwickeln von Bewirtschaftungsplänen für den Erhalt von Fischbeständen und deren Lebensräume oder erforderlichenfalls deren Wiederherstellung.,http://data.europa.eu/esco/skill/37272760-957a-4c34-b4f3-780ee285334d,"Entwicklung von Finanz-, Geschäfts- oder Marketingplänen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0cf3117a-c627-48e0-8d55-65b0f4557ae5,nachhaltige Bodenbearbeitungstechniken anwenden,released,skill/competence,sector-specific,,"Anwendung nachhaltiger Bodenbearbeitungstechniken wie konservierende Bodenbearbeitung oder Direktsaat, um die Auswirkungen auf den Boden zu minimieren.
   ",http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,Bewirtschaften von Land und Anbau von Nutzpflanzen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d0fe364-462d-48dd-b54b-e972e2bdecb1,Arten von Dämmstoffen,released,knowledge,cross-sector,Arten von Isolierungsmaterialien,"Verschiedene Arten von Dämmstoffen und deren Anwendungsfälle, Vorteile, Risiken und Kosten.",http://data.europa.eu/esco/isced-f/0732,Bau- und Bauingenieurwesen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,Maßnahmen zur Verringerung von Verschmutzung ergreifen,released,skill/competence,transversal,Müll trennenl | Umweltverschmutzung verhindern | öffentliche Verkehrsmittel benutzen | öffentliche Verkehrsmittel vorziehen | Lärm reduzieren,"Ergreifen von Maßnahmen zur Verringerung der Luft-, Lärm-, Licht-, Wasser- und Umweltverschmutzung, beispielsweise durch das Nutzen öffentlicher Verkehrsmittel, indem Abfälle nicht in der Natur zurückgelassen werden sowie das Reduzieren unnötiger Licht- und Lärmemissionen, insbesondere während der Nacht.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Anwenden umweltbezogener Fähigkeiten und Kompetenzen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d7f5ea2-dee7-4d6f-9f1d-93772148e6f8,Umgang mit Tieren bewerten,released,skill/competence,sector-specific,,"Bewerten des Umgangs mit verschiedenen Tierarten, einschließlich deren Pflege, Wohlbefinden und Unterbringung von Tieren in einem Zoo, einem Wildpark, einem Stall, einem landwirtschaftlichen Betrieb oder einer Tierforschungseinrichtung.",http://data.europa.eu/esco/skill/c5ff50d7-97d3-401e-90ac-e5ae756a52de,Überwachung des Gesundheitszustands bei Menschen und Tieren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e0b8991-4b24-4bb8-9113-df3ce43c1ff9,über Umweltfragen im Bergbau beraten,released,skill/competence,sector-specific,,"Beratung von Ingenieuren/Ingenieurinnen, Sachverständigen, geotechnischem Personal und Metallurgen/Metallurginnen, die an Bergbautätigkeiten und an der Renaturierung nach dem Abbau beteiligt sind.
	",http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d | http://data.europa.eu/esco/skill/8df86db8-dfcd-414b-854f-ad1cdb18d733 | http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd,Andere beraten | über die Auswirkungen des Bergbaus auf die Umwelt informieren | Beratung zu Umweltthemen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e628dde-8d1b-4a1d-b973-a349fe1725c8,Sedimentkontrolle durchführen,released,skill/competence,sector-specific,,"Verwalten der Sedimentkontrollverfahren und -projekte. Planen von Maßnahmen zur Sedimentkontrolle, um zu verhindern, dass erodierte Böden die in der Nähe liegenden Gewässer verschmutzen.",http://data.europa.eu/esco/skill/0779d482-4154-4fbb-9a22-d9fd89c39d67,"Organisation, Planung und zeitliche Planung von Arbeiten und Tätigkeiten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e78d9c9-7c3c-4c5c-82cb-205c16edbcb8,Green IT,released,knowledge,occupation-specific,,"Nutzung von IKT-Systemen auf umweltverträgliche und nachhaltige Weise, z. B. durch die Einführung energieeffizienter Server und Prozessoren (CPUs), die Verringerung der Ressourcen und die korrekte Entsorgung von Elektronikabfällen.",http://data.europa.eu/esco/isced-f/0712,Umweltschutztechnologie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e81fcff-2fb5-4c87-afc2-49b5e5d9db50,Biogasanlage betreiben,released,skill/competence,occupation-specific,,"Betreiben von Anlagen, in denen Energiepflanzen und Abfälle von landwirtschaftlichen Betrieben durch anaerobe Vergärung in Biogas umgewandelt werden. Sicherstellen, dass die Anlagen und Geräte zur Umwandlung von Biomasse in Biogas, das zur Gewinnung von Wärme und Strom verwendet wird, ordnungsgemäß funktionieren.",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"Betrieb von Systemen oder Ausrüstungen für die Verarbeitung von Erdöl, die chemische Weiterverarbeitung oder die Wasseraufbereitung"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f4cc60e-820e-439d-8810-31a2cc27ada6,Geräte zur Wasserdesinfektion verwenden,released,skill/competence,sector-specific,,"Verwenden von Geräten zur Wasserdesinfektion unter Einsatz verschiedener Methoden und Techniken, wie z. B. der mechanischen Filtration, je nach Bedarf.",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"Betrieb von Systemen oder Ausrüstungen für die Verarbeitung von Erdöl, die chemische Weiterverarbeitung oder die Wasseraufbereitung"
